id,symbol,name,polygon_pos_contract_hash,ethereum_contract_hash,avalanche_contract_hash,solana_contract_hash,circulating_supply,total_supply,max_supply,ath,ath_date,atl,atl_date,last_updated
dogecoin,DOGE,Dogecoin,NaN,NaN,NaN,NaN,132670764299.894,NaN,NaN,0.731578,2021-05-08T05:08:23.458Z,8.69e-05,2015-05-06T00:00:00.000Z,2022-02-24T23:13:13.432Z
dogelon-mars,ELON,Dogelon Mars,0xe0339c80ffde91f3e20494df88d4206d86024cdf,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,NaN,NaN,552922090798842.3,1000000000000000.0,1000000000000000.0,2.59e-06,2021-10-30T20:39:32.727Z,1.7563e-08,2021-04-23T06:09:26.872Z,2022-02-24T23:12:52.831Z
dopex,DPX,Dopex,NaN,0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,NaN,NaN,176698.48140237,500000.0,NaN,4215.41,2022-01-15T20:54:31.557Z,88.04,2021-06-26T08:59:55.161Z,2022-02-24T23:13:40.301Z
dydx,DYDX,dYdX,NaN,0x92d6c1e31e14520e676a687f0a93788b716beff5,NaN,NaN,82970683.20310062,1000000000.0,1000000000.0,27.86,2021-09-30T01:23:43.570Z,4.51,2022-02-24T07:34:44.718Z,2022-02-24T23:13:50.151Z
ecash,XEC,eCash,NaN,NaN,NaN,NaN,18988273423313.0,21000000000000.0,21000000000000.0,0.00038001,2021-09-04T17:09:31.137Z,1.847e-05,2021-07-20T20:49:46.212Z,2022-02-24T23:13:58.256Z
ecomi,OMI,ECOMI,NaN,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,NaN,NaN,581910045187.41,750000000000.0,NaN,0.01343572,2021-03-19T17:20:53.999Z,3.37e-06,2019-11-04T10:52:42.729Z,2022-02-24T23:12:38.070Z
elrond-erd-2,EGLD,Elrond,NaN,NaN,NaN,NaN,21927249.0,23257249.0,NaN,545.64,2021-11-23T10:33:26.737Z,6.51,2020-10-07T01:44:53.554Z,2022-02-24T23:13:49.048Z
energy-web-token,EWT,Energy Web Token,NaN,NaN,NaN,NaN,41276266.9852943,66907923.7098197,100000000.0,22.67,2021-04-17T03:10:00.960Z,0.543628,2020-04-03T00:00:00.000Z,2022-02-24T23:14:21.542Z
enjincoin,ENJ,Enjin Coin,NaN,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,NaN,NaN,934340659.567558,1000000000.0,1000000000.0,4.82,2021-11-25T09:53:41.955Z,0.01865964,2017-11-12T00:00:00.000Z,2022-02-24T23:14:30.401Z
eos,EOS,EOS,NaN,NaN,NaN,NaN,985442776.0384,NaN,NaN,22.71,2018-04-29T07:50:33.540Z,0.5024,2017-10-23T00:00:00.000Z,2022-02-24T23:13:19.077Z
e-radix,EXRD,e-Radix,NaN,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,NaN,NaN,3960000000.0,NaN,24000000000.0,0.660211,2021-11-14T16:24:07.330Z,0.056532,2020-11-25T11:31:13.036Z,2022-02-24T23:13:42.878Z
escoin-token,ELG,Escoin Token,NaN,0xa2085073878152ac3090ea13d1e41bd69e60dc99,NaN,NaN,0.0,250000000.0,NaN,3.48,2022-02-24T20:16:51.472Z,0.00064644,2021-01-10T16:54:16.852Z,2022-02-24T23:05:57.393Z
ethereum,ETH,Ethereum,NaN,NaN,NaN,NaN,119718315.3115,NaN,NaN,4878.26,2021-11-10T14:24:19.604Z,0.432979,2015-10-20T00:00:00.000Z,2022-02-24T23:14:13.681Z
ethereum-classic,ETC,Ethereum Classic,NaN,NaN,NaN,NaN,133186824.256917,210700000.0,210700000.0,167.09,2021-05-06T18:34:22.133Z,0.615038,2016-07-25T00:00:00.000Z,2022-02-24T23:14:16.305Z
